Track Name,Artist,Album,Popularity,Duration (minutes),URL,Album Cover
Shape of You,Ed Sheeran,÷ (Deluxe),88,3.8952,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
Mr. Brightside,The Killers,Hot Fuss,63,3.703333333333333,https://open.spotify.com/track/3n3Ppam7vgaVa1iaRUc9Lp,https://i.scdn.co/image/ab67616d0000b2739c284a6855f4945dc5a3cd73
Blinding Lights,The Weeknd,After Hours,89,3.334,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36
Time is Running Out,Muse,Absolution,4,3.95065,https://open.spotify.com/track/2takcwOaAZWiXQijPHIx7B,https://i.scdn.co/image/ab67616d0000b2738cb690f962092fd44bbe2bf4
Never Gonna Give You Up,Rick Astley,Whenever You Need Somebody,4,3.55955,https://open.spotify.com/track/4uLU6hMCjMI75M1A2tKUQC,https://i.scdn.co/image/ab67616d0000b273255e131abc1410833be95673
Despacito,Luis Fonsi,VIDA,80,3.8226666666666667,https://open.spotify.com/track/6habFhsOp2NvshLv26DqMb,https://i.scdn.co/image/ab67616d0000b273ef0d4234e1a645740f77d59c
Toxic,Britney Spears,In The Zone,84,3.3133333333333335,https://open.spotify.com/track/6I9VzXrHxO9rA9A5euc8Ak,https://i.scdn.co/image/ab67616d0000b273efc6988972cb04105f002cd4
Shallow,Lady Gaga,A Star Is Born Soundtrack,84,3.59555,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,https://i.scdn.co/image/ab67616d0000b273e2d156fdc691f57900134342
Yellow,Coldplay,Parachutes,91,4.4462166666666665,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,https://i.scdn.co/image/ab67616d0000b2739164bafe9aaa168d93f4816a
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",81,3.234783333333333,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce
SICKO MODE,Travis Scott,ASTROWORLD,82,5.213666666666667,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3
Uprising,Muse,The Resistance,78,5.080666666666667,https://open.spotify.com/track/4VqPOruhp5EdPBeR92t6lQ,https://i.scdn.co/image/ab67616d0000b273b6d4566db0d12894a1a3b7a2
Billie Jean,Michael Jackson,Thriller 25 Super Deluxe Edition,79,4.8971,https://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5,https://i.scdn.co/image/ab67616d0000b2734121faee8df82c526cbab2be
"thank u, next",Ariana Grande,"thank u, next",81,3.4553333333333334,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8
Happier Than Ever,Billie Eilish,Happier Than Ever,84,4.98165,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8,https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,Title (Deluxe),73,3.7508833333333333,https://open.spotify.com/track/2YlZnw2ikdb837oKMKjBkW,https://i.scdn.co/image/ab67616d0000b2733b11178cccd78ec77fc12dbc
Goosebumps - Remix,Travis Scott,Goosebumps (Remix),73,2.7133666666666665,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9,https://i.scdn.co/image/ab67616d0000b2739109b0425fb5b36284a24891
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),82,2.634,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f
I'm Good (Blue),David Guetta,I'm Good (Blue),85,2.9206333333333334,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK,https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4
rockstar (feat. 21 Savage),Post Malone,beerbongs & bentleys,81,3.6357666666666666,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268
Prelude for Piano No. 11 in F-Sharp Minor,Eduard Abramyan,"Abramyan: Preludes – Rachmaninoff: Sonata No. 2 in B-Flat Minor, Op. 36 – Babadjanyan: Capriccio, Improvisation, Folksong, Elegy, Poem",29,4.138216666666667,https://open.spotify.com/track/4iV5W9uYEdYUVa79Axb7Rh,https://i.scdn.co/image/ab67616d0000b2734f61e186facbb486f79e9fd9
American Pie,Don McLean,American Pie,78,8.614883333333333,https://open.spotify.com/track/1fDsrQ23eTAVFElUMaf38X,https://i.scdn.co/image/ab67616d0000b2730085dd4362653ef4c54ebbeb
