Track Name,Artist,Album,Popularity,Duration (minutes),Album Cover
Shape of You,Ed Sheeran,÷ (Deluxe),88,3.8952,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
Mr. Brightside,The Killers,Hot Fuss,63,3.703333333333333,https://i.scdn.co/image/ab67616d0000b2739c284a6855f4945dc5a3cd73
Blinding Lights,The Weeknd,After Hours,89,3.334,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36
Time is Running Out,Muse,Absolution,4,3.95065,https://i.scdn.co/image/ab67616d0000b2738cb690f962092fd44bbe2bf4
Never Gonna Give You Up,Rick Astley,Whenever You Need Somebody,4,3.55955,https://i.scdn.co/image/ab67616d0000b273255e131abc1410833be95673
Despacito,Luis Fonsi,VIDA,80,3.8226666666666667,https://i.scdn.co/image/ab67616d0000b273ef0d4234e1a645740f77d59c
Toxic,Britney Spears,In The Zone,84,3.3133333333333335,https://i.scdn.co/image/ab67616d0000b273efc6988972cb04105f002cd4
Shallow,Lady Gaga,A Star Is Born Soundtrack,84,3.59555,https://i.scdn.co/image/ab67616d0000b273e2d156fdc691f57900134342
Yellow,Coldplay,Parachutes,91,4.4462166666666665,https://i.scdn.co/image/ab67616d0000b2739164bafe9aaa168d93f4816a
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",81,3.234783333333333,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce
SICKO MODE,Travis Scott,ASTROWORLD,82,5.213666666666667,https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3
Uprising,Muse,The Resistance,78,5.080666666666667,https://i.scdn.co/image/ab67616d0000b273b6d4566db0d12894a1a3b7a2
Billie Jean,Michael Jackson,Thriller 25 Super Deluxe Edition,79,4.8971,https://i.scdn.co/image/ab67616d0000b2734121faee8df82c526cbab2be
"thank u, next",Ariana Grande,"thank u, next",81,3.4553333333333334,https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8
Happier Than Ever,Billie Eilish,Happier Than Ever,84,4.98165,https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,Title (Deluxe),73,3.7508833333333333,https://i.scdn.co/image/ab67616d0000b2733b11178cccd78ec77fc12dbc
Goosebumps - Remix,Travis Scott,Goosebumps (Remix),73,2.7133666666666665,https://i.scdn.co/image/ab67616d0000b2739109b0425fb5b36284a24891
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),82,2.634,https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f
I'm Good (Blue),David Guetta,I'm Good (Blue),85,2.9206333333333334,https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4
rockstar (feat. 21 Savage),Post Malone,beerbongs & bentleys,81,3.6357666666666666,https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268
Prelude for Piano No. 11 in F-Sharp Minor,Eduard Abramyan,"Abramyan: Preludes – Rachmaninoff: Sonata No. 2 in B-Flat Minor, Op. 36 – Babadjanyan: Capriccio, Improvisation, Folksong, Elegy, Poem",29,4.138216666666667,https://i.scdn.co/image/ab67616d0000b2734f61e186facbb486f79e9fd9
American Pie,Don McLean,American Pie,78,8.614883333333333,https://i.scdn.co/image/ab67616d0000b2730085dd4362653ef4c54ebbeb
Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,86,4.03955,https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e
everything i wanted,Billie Eilish,everything i wanted,82,4.090416666666667,https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249
Perfect,Ed Sheeran,÷ (Deluxe),88,4.39,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
Something Just Like This,The Chainsmokers,Memories...Do Not Open,87,4.1193333333333335,https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94
Hey Ya!,Outkast,Speakerboxxx/The Love Below,82,3.9202166666666667,https://i.scdn.co/image/ab67616d0000b2736e88eb6508fd94cd1b745ce2
WAP (feat. Megan Thee Stallion),Cardi B,WAP (feat. Megan Thee Stallion),75,3.1256833333333334,https://i.scdn.co/image/ab67616d0000b273c450c89d3eb750d3535b0a0c
SAD!,XXXTENTACION,?,79,2.77675,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c
Blank Space,Taylor Swift,1989,75,3.863766666666667,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148
Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),88,4.296666666666667,https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b
Too Good At Goodbyes,Sam Smith,The Thrill Of It All (Special Edition),82,3.35,https://i.scdn.co/image/ab67616d0000b273005cd7d0ae87b081601f6cca
Closer,The Chainsmokers,Closer,86,4.082666666666666,https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453
Galway Girl,Ed Sheeran,÷ (Deluxe),80,2.8471,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,Carte Blanche,74,3.5416666666666665,https://i.scdn.co/image/ab67616d0000b273caf82abb2338880577e472be
This Charming Man - 2011 Remaster,The Smiths,The Smiths,78,2.715333333333333,https://i.scdn.co/image/ab67616d0000b273a09b231129ab1cb1a6efc57f
That's What I Like,Bruno Mars,24K Magic,87,3.4448833333333333,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5
The Nights,Avicii,The Days / Nights,84,2.9443,https://i.scdn.co/image/ab67616d0000b2730ae4f4d42e4a09f3a29f64ad
Lights Up,Harry Styles,Fine Line,68,2.870216666666667,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
The Box,Roddy Ricch,Please Excuse Me for Being Antisocial,81,3.2775333333333334,https://i.scdn.co/image/ab67616d0000b273600adbc750285ea1a8da249f
You Shook Me All Night Long,AC/DC,Back In Black,81,3.502883333333333,https://i.scdn.co/image/ab67616d0000b2730b51f8d91f3a21e8426361ae
Wannabe,Spice Girls,Spice,81,2.883766666666667,https://i.scdn.co/image/ab67616d0000b27363facc42e4a35eb3aa182b59
goosebumps,Travis Scott,Birds In The Trap Sing McKnight,84,4.063933333333333,https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce
Save Your Tears,The Weeknd,After Hours,86,3.5937666666666668,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36
Timber,Pitbull,Global Warming: Meltdown (Deluxe Version),83,3.4026666666666667,https://i.scdn.co/image/ab67616d0000b273f2486b438645e97b523e4f90
Never Gonna Give You Up,Rick Astley,Whenever You Need Somebody,79,3.55955,https://i.scdn.co/image/ab67616d0000b27315ebbedaacef61af244262a8
Royals,Lorde,Pure Heroine,79,3.16975,https://i.scdn.co/image/ab67616d0000b273187331e276c898d39764cc98
Stairway to Heaven - Remaster,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),79,8.047166666666667,https://i.scdn.co/image/ab67616d0000b273c8a11e48c91a982d086afc69
rockstar,Post Malone,rockstar,2,3.6386666666666665,https://i.scdn.co/image/ab67616d0000b273345f823b6c1dbd3b4cc7b382
Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,74,3.4906333333333333,https://i.scdn.co/image/ab67616d0000b273c6f7af36ecdc3ed6e0a1f169
